Via,Cignoli,,Sacra Famiglia
Via,Cittadella,,S. Maria del Carmine
Via,Cividale,,S. Alessandro Sauli
Via,Colesino,,Sacra Famiglia
Cascina,Colombarone,,S. Lanfranco
Cascina,Colombi,,S. Carlo Borromeo
Via,Colombo,,SS. Salvatore
Via,Colorni,,S. Lanfranco
Via,Comi,,S. Michele
Via,Como,,S. Alessandro Sauli
Via,Coralli,,S. Lanfranco
Strada,Cornaiano,,S. Maria Assunta in Mirabello
Via,Cornienti,,SS. Salvatore
Via,Correnti,,S. Maria delle Grazie
Via,Corridoni,,Ss. Primo e Feliciano
Via,Corti,,SS. Crocifisso
Via,Cossa,"dispari fino al 11, pari fino al 20",Duomo
Via,Cossa,"dispari dal 15, pari dal 24",S. Teodoro
Strada,Costa Caroliana,,S. Carlo Borromeo
Via,Cozzi,,S. Maria di Caravaggio
Via,Cravos,,S. Michele
Viale,Cremona,"pari dal 84, dispari dal 185",S. Carlo Borromeo
Viale,Cremona,"pari fino al 82, dispari fino al 183",S. Pietro Apostolo
Via,Cremona Fratelli,,Ss. Gervasio e Protasio
Piazzale,Crosione,,S. Alessandro Sauli
Via,Cuneo,,S. Alessandro Sauli
Via,Cuzio,,Ss. Gervasio e Protasio
Via,Da Cozzo,,S. Maria in Betlem
Piazzale,D’Acquisto,,S. Maria della Scala
Viale,Damiano Chiesa,,Ss. Gervasio e Protasio
Piazza,Dante,,Ss. Gervasio e Protasio
Via,Darsena,,Ss. Primo e Feliciano
Via,De Barachis,,S. Maria delle Grazie
Via,De Canistris,,S. Francesco
Via,De Gasperi Alcide,,S. Luigi Orione
Via,De Motis,,SS. Crocifisso
Via,De Rossi Bernardino,,SS. Salvatore
Via,Decembrio,dispari,SS. Crocifisso
Via,Decembrio,pari,Sacra Famiglia
Via,Dei Mantegazza,,S. Maria Assunta in Mirabello
Via,Dei Mille,,S. Maria in Betlem
Via,Dei Molini,,S. Teodoro
Via,Del Carmine,,S. Maria del Carmine
Via,Del Colombarone,,S. Lanfranco
Via,Del Comune,,Duomo
Via,Del Giudice,,Sacra Famiglia
Piazza,Del Lino,,S. Michele
Vicolo,Del Senatore,,Duomo
Strada,Del Siccomario,,S. Maria in Betlem
Via,Del Teatro,,S. Francesco
Piazza,Del Tribunale,,S. Maria del Carmine
Piazza,Della Posta,,S. Francesco
Via,Della Rocchetta,,S. Michele
Via,Della Vela,,S. Carlo Borromeo
Piazza,Della Vittoria,,S. Maria del Carmine
Piazza,Della Vittoria,,Duomo
Via,Della Zecca,,Duomo
Via,Dell’Acqua,,S. Maria Assunta in Mirabello
Via,Depretis,,SS. Salvatore
Via,Digione,,S. Francesco
Via,Dolcebuono,,S. Carlo Borromeo
Via,Domenico da Catalogna,,S. Francesco
Via,Don Albertario,,S. Carlo Borromeo
Via,Don Gnocchi Carlo,,S. Luigi Orione
Via,Don Minzoni,,S. Lanfranco
Via,Don Vanzini,,S. Maria in Betlem
Via,Dondi,,Sacra Famiglia
Via,Donegani,pari dal 2 al 6,S. Maria delle Grazie
Via,Donegani,dispari,S. Pietro Apostolo
Via,Dora,,S. Lanfranco
Via,Dossi,,S. Maria delle Grazie
Vicolo,Dungallo,,Ss. Primo e Feliciano
Piazza,Duomo,,Duomo
Via,Elba,,S. Alessandro Sauli
Piazza,Emanuele Filiberto,Unnamed: 0,S. Francesco
Via,Emilia,,S. Alessandro Sauli
Via,Eredi Farina,,SS. Salvatore
Via,Errera,,S. Carlo Borromeo
Via,Eruli,,Duomo
Piazzale,Europa,,S. Maria delle Grazie
Viale,Europa,,S. Maria delle Grazie
Via,Faccioli,,SS. Salvatore
Via,Facioli,,SS. Crocifisso
Via,Faruffini,,Ss. Primo e Feliciano
Via,Fasolo,,S. Alessandro Sauli
Via,Fenoglio,,S. Lanfranco
Via,Ferrara,,S. Lanfranco
Via,Ferrari da Grado,,SS. Crocifisso
Via,Ferrata Adolfo,,S. Maria di Caravaggio
Via,Ferreri,,S. Maria del Carmine
Via,Ferrini,pari fino al 20,Sacra Famiglia
Via,Ferrini,"dispari, pari dal 20 al 86",Spirito Santo
Via,Filzi,,Ss. Gervasio e Protasio
Via,Fiorentini,,Spirito Santo
Via,Fioroni,,S. Pietro Apostolo
Via,Firenze,,S. Alessandro Sauli
Via,Flarer,,S. Maria di Caravaggio
Via,Folla di Sopra,,SS. Salvatore
Via,Folla di Sotto,,SS. Salvatore
Via,Folperti,,Sacra Famiglia
Via,Fondrini,,S. Carlo Borromeo
Via,Foppa,,SS. Salvatore
Via,Forlanini,,S. Maria di Caravaggio
,Fornetto,,S. Luigi Orione
Via,Foro Magno,,S. Francesco
Via,Foscolo,,Ss. Primo e Feliciano
Via,Fossarmato,,S. Giorgio in Fossarmato
Via,Francana,"pari dal 38, dispari dal 33",S. Carlo Borromeo
Via,Francana,"pari fino al 36, dispari fino al 31",S. Pietro Apostolo
Via,Franchi Maggi,,Ss. Primo e Feliciano
Via,Frank,"pari, dispari fino al 17",Duomo
Via,Frank,19,S. Teodoro
Via,Frisi,,S. Maria delle Grazie
Via,Friuli,,S. Alessandro Sauli
Strada,Fubina,,S. Carlo Borromeo
Via,Fusi,,SS. Crocifisso
Piazzale,Gaffurio,,Sacra Famiglia
Via,Gaffurio,,Sacra Famiglia
Via,Galliano,,S. Francesco
Via,Gambarana,,S. Alessandro Sauli
Via,Gambini,,S. Maria del Carmine
Piazza,Garavaglia,,S. Maria del Carmine
Piazza,Garavaglia,,Duomo
Piazza,Garavaglia,,Ss. Gervasio e Protasio
Strada,Gardona,,S. Lanfranco
Corso,Garibaldi,"pari fino al 22, dispari fino al 37",S. Michele
Corso,Garibaldi,"pari dal 24, dispari dal 39",Ss. Primo e Feliciano
Via,Gatti,Unnamed: 0,Duomo
Via,Genova,,S. Alessandro Sauli
Via,Gerla,,Spirito Santo
Piazzale,Ghinaglia,,S. Maria in Betlem
Piazza,Ghislieri,,S. Francesco
Via,Ghisoni,,Sacra Famiglia
Via,Giacomo Franchi,,SS. Salvatore
Via,Gianani Faustino,,S. Maria Assunta in Mirabello
Via,Giardini,,S. Pietro Apostolo
Via,Giasone del Maino,,SS. Salvatore
Via,Gilardelli,,S. Francesco
Via,Giovanni da Ferrera,,S. Michele
Cascina,Giulia,,S. Lanfranco
Via,Giulietti,,S. Maria in Betlem
Via,Gobetti,,SS. Salvatore
Via,Goldoni,,S. Francesco
Piazzale,Golgi,,S. Maria di Caravaggio
Viale,Golgi,,S. Maria di Caravaggio
Via,Gorini,,S. Maria delle Grazie
Viale,Gorizia,"dispari dal 47, pari dal 32",S. Francesco
Viale,Gorizia,"pari fino al 30, dispari fino al 45",Ss. Primo e Feliciano
Via,Gragnani,,SS. Salvatore
Via,Gramsci,,S. Luigi Orione
Via,Grandi,,S. Lanfranco
Via,Grassi,,Sacra Famiglia
Via,Gravellone,,S. Maria in Betlem
Via,Griffini,,S. Lanfranco
Via,Griziotti,,S. Maria del Carmine
Via,Grossi,,S. Maria delle Grazie
Via,Grumello,,S. Carlo Borromeo
Via,Gualla,,S. Pietro Apostolo
Via,Guffanti,,S. Lanfranco
Piazza,Guicciardi,,S. Maria del Carmine
Via,Guidi,dispari,Ss. Gervasio e Protasio
Via,Guidi,pari,SS. Salvatore
Via,Guido da Vigevano,,Sacra Famiglia
Via,Indipendenza,,Ss. Gervasio e Protasio
Via,Ingrao,dispari dal 1 al 7,S. Maria delle Grazie
Via,Ingrao,"pari, dispari dal 9",Spirito Santo
Via,Ischia,,S. Alessandro Sauli
Via,Isonzo,,S. Lanfranco
Piazza,Italia,,S. Maria del Carmine
Via,Labriola,,S. Lanfranco
Via,Lambri,,Spirito Santo
Via,Lanfranco,dispari,S. Maria del Carmine
Via,Lanfranco,pari,Ss. Gervasio e Protasio
Via,Langosco,,Ss. Primo e Feliciano
Via,Lanzani,,SS. Crocifisso
Via,Lardirago,fino al 41,S. Alessandro Sauli
Via,Lardirago,dal 43,S. Luigi Orione
Porta,Laudense,,S. Francesco
Via,Lazio,,S. Alessandro Sauli
Strada,Leona,,S. Maria in Betlem
Piazza,Leonardo da Vinci,Unnamed: 0,S. Francesco
Via,Lesima,,S. Alessandro Sauli
Viale,Libertà,pari,S. Teodoro
Viale,Libertà,dispari,SS. Salvatore
Via,Liguri,"pari fino al 32, dispari fino al 41",Duomo
Via,Liguri,"pari dal 34, dispari dal 43",S. Teodoro
Via,Liguria,,S. Alessandro Sauli
Via,Lingiardi,,SS. Crocifisso
Via,Liutprando,,S. Maria del Carmine
Via,Loatti,,S. Lanfranco
Viale,Lodi,pari fino al 18,S. Alessandro Sauli
Viale,Lodi,pari dal 20 al 30,S. Luigi Orione
Viale,Lodi,dispari,S. Pietro Apostolo
Via,Loew,,S. Lanfranco
Via,Lombardia,,S. Alessandro Sauli
Via,Lombroso,,S. Maria di Caravaggio
Via,Lomellina,,S. Alessandro Sauli
Via,Lomonaco,,SS. Salvatore
Via,Longobardi,,S. Michele
Via,Longobardi,,S. Teodoro
Via,Lotario,,Ss. Primo e Feliciano
Via,Lovati,,S. Maria di Caravaggio
Via,Lucania,,S. Alessandro Sauli
Viale,Ludovico il Moro,,Sacra Famiglia
Via,Luigi Porta,pari,S. Michele
Via,Luigi Porta,dispari,Ss. Primo e Feliciano
Via,Luino,,S. Francesco
Via,Lunga,,Ss. Primo e Feliciano
Viale,Lungoticino Sforza,pari dal 2 al 12,S. Michele
Viale,Lungoticino Sforza,"3, pari dal 14",Ss. Primo e Feliciano
Viale,Lungoticino Visconti,,S. Teodoro
Via,Lunigiana,,S. Alessandro Sauli
Via,Maciachini Carlo,,S. Luigi Orione
Via,Madonnina,,S. Carlo Borromeo
Strada,Maestà,,S. Luigi Orione
Via,Maestri,,Sacra Famiglia
Via,Maestri Comacini,,S. Teodoro
Via,Maffi,,S. Teodoro
Via,Magani,,S. Maria Assunta in Mirabello
Via,Magenta,,S. Maria in Betlem
Via,Maggi F.L.,,S. Pietro Apostolo
Via,Maiocchi,,SS. Salvatore
Via,Malagugini,,S. Maria in Betlem
Via,Malaspina,,S. Maria del Carmine
Via,Malaspina,,S. Lanfranco
Via,Mameli,,Sacra Famiglia
Via,Manara,dispari,S. Maria delle Grazie
Via,Manara,pari,Spirito Santo
Via,Mantova,,S. Alessandro Sauli
Via,Mantovani,,S. Michele
Corso,Manzoni,11,Ss. Gervasio e Protasio
Corso,Manzoni,"pari, dispari dal 21",SS. Salvatore
Galleria,Manzoni,,SS. Salvatore
Via,Marabelli,Unnamed: 0,SS. Crocifisso
Via,Marangoni,,S. Maria di Caravaggio
Via,Marche,,S. Alessandro Sauli
Via,Marchesi,,S. Alessandro Sauli
Via,Marconi,,Sacra Famiglia
Via,Marozzi Fratelli,,S. Maria del Carmine
Via,Martinetti,,S. Lanfranco
Via,Mascheroni,,S. Maria del Carmine
Via,Mascherpa,,S. Lanfranco
Via,Maspes,,S. Francesco
Via,Massacra,,Ss. Primo e Feliciano
Viale,Matteotti,,S. Maria del Carmine
Corso,Mazzini,pari,S. Francesco
Corso,Mazzini,dispari,S. Michele
Via,Menocchio,,Duomo
Via,Mentana,,S. Francesco
Strada,Mezzana,,S. Maria delle Grazie
Strada,Mezzana,,S. Pietro Apostolo
Via,Miani,,S. Maria del Carmine
Via,Michele da Zerbo,,S. Pietro Apostolo
Via,Michis,,SS. Crocifisso
Via,Milazzo,,S. Maria in Betlem
Via,Mincio,,S. Lanfranco
Piazzale,Minerva,4,Duomo
Via,Mirabello,,S. Maria Assunta in Mirabello
Via,Moiraghi,,S. Maria Assunta in Mirabello
Strada,Molinazzo,,S. Lanfranco
Via,Molino Tre Mole,,S. Pietro Apostolo
Via,Monferrato,,S. Alessandro Sauli
Piazzale,Mons. Allorio,,S. Carlo Borromeo
Via,Montebello della Battaglia,,SS. Salvatore
Via,Montebolone,,S. Carlo Borromeo
Via,Montefiascone,,S. Maria delle Grazie
Viale,Montegrappa,,S. Pietro Apostolo
Via,Montemaino,,S. Maria Assunta in Mirabello
Via,Montemartini,,S. Maria in Betlem
Via,Montesanto,,Duomo
Via,Monti,,Ss. Gervasio e Protasio
Via,Montini,,S. Maria delle Grazie
Via,Morazzone,,S. Michele
Via,Moretti,,SS. Crocifisso
Via,Morosi,,S. Francesco
Via,Mortara,,S. Alessandro Sauli
Via,Moruzzi,,S. Maria di Caravaggio
Via,Mossi,,S. Lanfranco
Piazza,Municipio,pari,S. Francesco
Piazza,Municipio,dispari,Ss. Primo e Feliciano
Via,Mussini,,S. Lanfranco
Via,Muto dell’Accia al Collo,,Ss. Gervasio e Protasio
Via,Muzio,,SS. Crocifisso
Via,Nascimbene,,Sacra Famiglia
Viale,Necchi,,S. Francesco
Via,Negri Adelchi,,S. Maria di Caravaggio
Via,Nenni Pietro,Unnamed: 0,S. Luigi Orione
Via,Nepote,,S. Pietro Apostolo
Via,Nocca,,SS. Crocifisso
Via,Noè,,SS. Crocifisso
Via,Novara,,S. Alessandro Sauli
Vicolo,Novaria,,S. Maria del Carmine
Via,Novati,,Sacra Famiglia
Viale,Oberdan,,S. Teodoro
Via,Oglio,,S. Lanfranco
Via,Olevano,"dispari dal 9 al 67, pari dal 58 al 140",SS. Crocifisso
Via,Olevano,"dispari fino al 5, pari fino al 54",Sacra Famiglia
Via,Olevano,dal 200 al 220,S. Maria della Scala
Via,Olivelli,,Sacra Famiglia
Via,Oltrepò,,S. Alessandro Sauli
Via,Omodeo,,Duomo
Strada,Ontani,,S. Giorgio in Fossarmato
Via,Orione,,S. Luigi Orione
Via,Orsi,,S. Maria di Caravaggio
Strada,Ortaglia Ospedale,,S. Alessandro Sauli
Via,Padova,,S. Alessandro Sauli
Strada,Paiola,pari fino al 18,S. Alessandro Sauli
Strada,Paiola,"dispari dal 19 al 951, pari dal 802 al 810, 828",S. Luigi Orione
Via,Palestro,,Ss. Gervasio e Protasio
Via,Pampuri,,S. Lanfranco
Largo,Panizza,,S. Maria del Carmine
Via,Paolo Diacono,,S. Michele
Via,Paratici,,Duomo
Via,Parco Vecchio,fino al 37,Sacra Famiglia
Via,Parco Vecchio,38,Spirito Santo
Via,Parodi,,Duomo
Viale,Partigiani,,S. Maria delle Grazie
Via,Pasino,,S. Maria in Betlem
Via,Pastrengo,dispari,S. Alessandro Sauli
Via,Pastrengo,pari,S. Luigi Orione
Via,Pavesi,,S. Maria Assunta in Mirabello
Via,Pecchio,,S. Carlo Borromeo
Via,Pedotti,,S. Michele
Cascina,Pelizza,,S. Lanfranco
Via,Penice,,S. Alessandro Sauli
Via,Perelli,,Ss. Primo e Feliciano
Strada,Persa,,S. Maria in Betlem
Vicolo,Pertusati,,Ss. Primo e Feliciano
Via,Pessani,,S. Teodoro
Piazza,Petrarca,,S. Maria del Carmine
Via,Pettenghi,,Spirito Santo
Via,Piacenza,,S. Alessandro Sauli
Via,Piave,,S. Lanfranco
Via,Piazzetta Porta Palacense,,Ss. Primo e Feliciano
Via,Picchioni Fratelli,,S. Pietro Apostolo
Via,Piemonte,,S. Alessandro Sauli
Via,Piermarini,,S. Alessandro Sauli
Via,Pinerolo,,S. Alessandro Sauli
Via,Pizzocaro,,S. Maria Assunta in Mirabello
Strada,Poligogna,Unnamed: 0,S. Maria Assunta in Mirabello
Via,Pollaioli,"dispari dal 71, pari dal 58",S. Carlo Borromeo
Via,Pollaioli,"dispari fino al 69 , pari fino al 56",S. Pietro Apostolo
Via,Pollak,,S. Alessandro Sauli
Via,Poma,,Sacra Famiglia
Via,Poma,,Spirito Santo
Via,Ponte di Pietra,,S. Maria di Caravaggio
Piazzale,Ponte Ticino,,S. Michele
Via,Ponte Vecchio,,S. Maria in Betlem
Via,Porro,"dispari dal 7 al 11, pari dal 10 al 16",S. Maria delle Grazie
Via,Porro,1,Spirito Santo
Via,Porta Calcinara,,S. Teodoro
Via,Porta Damiani,,S. Michele
Piazzale,Porta Garibaldi,,Ss. Primo e Feliciano
Via,Porta Marica,,S. Maria del Carmine
Via,Porta Marica,,Ss. Gervasio e Protasio
Piazzale,Porta Nuova,,Ss. Primo e Feliciano
Via,Porta Nuova,dispari dal 1 al 43,S. Michele
Via,Porta Nuova,pari dal 4 al 38,Ss. Primo e Feliciano
Piazzetta,Porta Palacense,,Ss. Primo e Feliciano
Via,Porta Palacense,,Ss. Primo e Feliciano
Via,Porta Pertusi,,S. Teodoro
Via,Porta Salara,,S. Michele
Via,Porta Stoppa,,S. Francesco
Strada,Prado,,S. Giorgio in Fossarmato
Via,Prelini,,S. Pietro Apostolo
Via,Puglie,,S. Alessandro Sauli
Via,Pusterla,,Duomo
Vicolo,Quattro Marie,,S. Francesco
Vicolo,Questura,,S. Maria del Carmine
Via,Radlinski,,SS. Salvatore
Via,Ragazzi del 99,,S. Maria in Betlem
Via,Ramazzotti,,S. Pietro Apostolo
Via,Rampoldi,,S. Maria Assunta in Mirabello
Via,Rasori,,S. Maria di Caravaggio
Via,Ravenna,,S. Alessandro Sauli
Via,Razzini,,S. Lanfranco
Via,Reale,,SS. Crocifisso
Via,Regina Adelaide,,S. Teodoro
Via,Regisole,,Duomo
Via,Regno Italico,,S. Teodoro
Viale,Repubblica,,Ss. Gervasio e Protasio
Viale,Resistenza,,Ss. Primo e Feliciano
Via,Ressi,,Ss. Primo e Feliciano
Via,Rezia,"dispari fino al 21, pari fino al 26",Duomo
